key,code,moment,duration,amount,type,email,link,draft-mode,key:project,key:sponsor
sponsorship-01,ABC-123,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-02,AB-123,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-03,A-123,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-04,XYZ-100,0001/01/01 00:00,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-05,XYZ-101,0001/01/01 00:01,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-06,XYZ-102,1500/01/01 00:00,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-07,XYZ-103,2022/06/29 12:00,2022/07/29 12:00,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-08,XYZ-104,2020/11/16 22:30,2300/12/29 23:50,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-09,XYZ-105,2020/11/16 22:30,2300/12/29 23:58,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-10,XYZ-106,2020/11/16 22:30,2100/12/31 23:59,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-11,XYZ-107,2020/11/16 22:30,2020/12/16 22:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-12,XYZ-108,2020/11/16 22:30,2020/12/25 18:30,"USD 0.01",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-13,XYZ-109,2020/11/16 22:30,2020/12/25 18:30,"USD 100,000,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-14,XYZ-110,2020/11/16 22:30,2020/12/25 18:30,"USD 99,999,999.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-15,XYZ-111,2020/11/16 22:30,2020/12/25 18:30,"USD 0.00",In_kind,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-16,XYZ-112,2020/11/16 22:30,2020/12/25 18:30,"EUR 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-17,XYZ-113,2020/11/16 22:30,2020/12/25 18:30,"GBP 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-18,XYZ-114,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,dionne@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-01
sponsorship-19,XYZ-115,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship19,true,project-01,sponsor-01
sponsorship-20,XYZ-116,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,null,true,project-01,sponsor-01
sponsorship-21,XYZ-117,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,false,project-01,sponsor-01
sponsorship-22,XYZ-118,2020/11/16 22:30,2020/12/25 18:30,"EUR 0.00",In_kind,alaric@amce.com,https://example.com/sponsorship1,false,project-01,sponsor-01
sponsorship-23,XYZ-119,2020/11/16 22:30,2020/12/25 18:30,"GBP 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,false,project-01,sponsor-01
sponsorship-24,XYZ-120,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,alaric@amce.com,https://example.com/sponsorship1,true,project-02,sponsor-01
sponsorship-25,XYZ-121,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,dionne@amce.com,https://example.com/sponsorship1,true,project-01,sponsor-02
sponsorship-26,XYZ-122,2020/11/16 22:30,2020/12/25 18:30,"USD 10,000.00",Financial,null,https://example.com/sponsorship1,true,project-01,sponsor-02
