key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-sponsor-01,true,"UserIdentity{name: 'Alaric', surname: 'Ankhyara', email: 'alaric@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Dionne', surname: 'Briarwood', email: 'dionne@acme.com'}",sponsor2,sponsor2
user-account-manager-01,true,"UserIdentity{name: 'James', surname: 'Gadner', email: 'james.gadner@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'David', surname: 'Maddison', email: 'david.maddison@acme.com'}",manager2,manager2
user-account-auditor-01,true,"UserIdentity{name:'Tom', surname:'Innit', email:'tominn@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name:'Clay', surname:'Smith', email:'DClay@acme.com'}",auditor2,auditor2
user-account-client-01,true,"UserIdentity{name: 'John', surname: 'Doe', email: 'client1@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'client2@acme.com'}",client2,client2
user-account-administrator-01,true,"UserIdentity{name: 'Juan', surname: 'Delgado', email: 'JuanD@acme.com'}",administrator1,administrator1
user-account-administrator-02,true,"UserIdentity{name: 'Peter', surname: 'Parker', email: 'spidey@acme.com'}",administrator1,administrator1
