key,title,description,estimated-cost,acceptance-criteria,priority,link,key:project,key:manager
user-story-01-01,Implementar función de inicio de sesión,Los usuarios deben poder iniciar sesión en la aplicación.,EUR 400.00,El usuario puede iniciar sesión correctamente.,MUST,https://example.com/user-story-1,project-01,manager-01
user-story-01-02,Agregar funcionalidad de búsqueda,Se debe implementar un campo de búsqueda.,GBP 600.00,Los usuarios pueden encontrar contenido relevante utilizando la función de búsqueda.,SHOULD,https://example.com/user-story-2,project-01,manager-01
user-story-02-01,Actualizar la interfaz de usuario,La interfaz de usuario debe actualizarse.,"USD 1,000.00",Los usuarios encuentran la nueva interfaz más intuitiva y atractiva.,COULD,https://example.com/user-story-3,project-02,manager-01
user-story-02-02,Crear página de perfil de usuario,Se debe crear una página de perfil de usuario.,GBP 850.00,Los usuarios pueden acceder a su perfil y actualizar su información de manera efectiva.,MUST,https://example.com/user-story-4,project-02,manager-02
user-story-03-01,Añadir opción de cambio de idioma,Los usuarios cambien el idioma de la aplicación.,EUR 300.00,Los usuarios pueden cambiar el idioma de la aplicación según sus preferencias.,COULD,https://example.com/user-story-5,project-03,manager-02
user-story-04-01,Desarrollar función de compartir contenido,Permitir a los usuarios compartir contenido con otros usuarios.,"USD 1,200.00",Los usuarios pueden compartir contenido de manera efectiva y sencilla.,WONT,https://example.com/user-story-6,project-04,manager-01
user-story-04-02,Implementar sistema de notificaciones,Se debe implementar un sistema de notificaciones.,GBP 100.00,Los usuarios reciben notificaciones relevantes de manera oportuna.,SHOULD,https://example.com/user-story-7,project-04,manager-01
user-story-05-01,Mejorar rendimiento de la aplicación,Se deben realizar mejoras.,"USD 1,500.00",Los usuarios experimentan una aplicación más rápida y fluida.,WONT,null,project-05,manager-01
user-story-06-01,Agregar funcionalidad de chat en tiempo real,Se debe agregar la opción de chat.,EUR 800.00,Los usuarios pueden chatear de manera instantánea y eficiente.,SHOULD,https://example.com/user-story-9,project-06,manager-02
user-story-07-01,Desarrollar sistema de recomendaciones personalizadas,Se debe desarrollar un sistema de recomendaciones.,EUR 950.00,Los usuarios reciben recomendaciones personalizadas basadas en sus intereses.,MUST,https://example.com/user-story-10,project-07,manager-01
user-story-08-01,Añadir función de personalización de temas,Personalizar el tema y la apariencia visual de la aplicación.,EUR 400.00,Los usuarios pueden personalizar la apariencia de la aplicación según sus preferencias.,COULD,null,project-08,manager-01
user-story-09-01,Implementar sistema de comentarios en publicaciones,Dejar comentarios en las publicaciones.,USD 900.00,Los usuarios pueden interactuar y compartir sus opiniones en las publicaciones.,COULD,null,project-09,manager-01
user-story-10-01,Desarrollar función de seguimiento de actividades,Realizar seguimiento de sus actividades dentro de la aplicación.,GBP 800.00,Los usuarios pueden monitorear su actividad y progreso en la aplicación.,SHOULD,https://example.com/user-story-17,project-10,manager-01
user-story-10-02,Agregar opción de compartir en redes sociales,Se debe agregar la opción de compartir contenido en redes sociales.,USD 700.00,Los usuarios pueden compartir contenido de la aplicación en sus redes sociales.,MUST,null,project-10,manager-02
